"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","MANUFACTURER"
"C1,C4,C6,C7,C8,C10","100nF(K)25V X5R","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E104KE14-01.pdf","Capacitor_SMD:C_0201_0603Metric","6","","GRM033R61E104KE14D","Murata Electronics"
"C2,C3","6pF(D)50V C0G/NP0","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H6R0DA01-01.pdf","Capacitor_SMD:C_0402_1005Metric","2","","GRM1555C1H6R0DA01D","Murata Electronics"
"C5","1uF(K)16V X6S","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155C81C105KE11-01.pdf","Capacitor_SMD:C_0402_1005Metric","1","","GRM155C81C105KE11D","Murata Electronics"
"C9","10uF(K)25V X5R","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61E106KA73-01.pdf","Capacitor_SMD:C_0603_1608Metric","1","","GRM188R61E106KA73D","Murata Electronics"
"C11","470nF(K)50V X5R","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R61H474KE11-01.pdf","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R61H474KE11D","Murata Electronics"
"CN1","Leafony Bus","","Leafony:CN_F29_B29","1","","",""
"D1","SML-A12U8TT86","https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-a12_a13.pdf","Leafony:LED_SML-A12_ROM","1","","SML-A12U8TT86","Rohm Semiconductor"
"D2","1SS387,L3F","https://toshiba.semicon-storage.com/info/1SS387_datasheet_en_20240617.pdf","Diode_SMD:D_SOD-523","1","","1SS387,L3F","Toshiba Semiconductor and Storage"
"FB1","MPZ1005S300CT000","https://product.tdk.com/system/files/dam/doc/product/emc/emc/beads/catalog/emc_emc_mpz_en.pdf","Fuse:Fuse_0402_1005Metric","1","","MPZ1005S300CT000","TDK Corporation"
"Q1","RE1C002UNTCL","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/re1c002un-e.pdf","Leafony:DIO_RB558WMF_ROM","1","","RE1C002UNTCL","Rohm Semiconductor"
"R1,R2,R3,R8","10k(F)","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","4","","RC0402FR-0710KL","YAGEO"
"R4,R11,R13","0R","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","3","","RC0402JR-070RL","YAGEO"
"R5,R7,R12,R14","DNP","~","Resistor_SMD:R_0402_1005Metric","4","DNP","",""
"R6","1k(F)","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","1","","RC0402FR-071KL","YAGEO"
"R9","100R(F)","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","1","","RC0402FR-07100RL","YAGEO"
"R10","100k(F)","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","1","","RC0402FR-07100KL","YAGEO"
"SW1","CUS-12TB","https://www.nidec-copal-electronics.com/eng/wp-content/uploads/2020/02/cus_e.pdf","Leafony:CUS-12TB_NDC","1","","CUS-12TB","Nidec Components Corporation"
"SW2","EVQ-P7B01P","https://industrial.panasonic.com/cdbs/www-data/pdf/ATK0000/ATK0000CE3.pdf","Leafony:EVQ-P7B01P","1","","EVQ-P7B01P","Panasonic Electronic Components"
"U1","STM32L452REI6","https://www.st.com/resource/en/datasheet/stm32l452re.pdf","Package_BGA:UFBGA-64_5x5mm_Layout8x8_P0.5mm","1","","STM32L452REI6","STMicroelectronics"
"U2","TS3A4751RUCR","https://www.ti.com/lit/gpn/ts3a4751","Leafony:RUC14","1","","TS3A4751RUCR","Texas Instruments"
"X1","MU00530-32.768K","https://www.ndk.com/images/products/catalog/c_NX2012SA-EXS00A_e.pdf","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1","","MU00530-32.768K","NDK America, Inc."
